另外年的分数线pnt呢？,历史数据查询
maj这个专业的就业前景咋样？,专业前景
maj专业近几年是不是较热门，女生报考好就业吗？,专业前景
maj未来就业如何,专业前景
大学的maj如何？,专业前景
maj是冷门专业吗？,专业前景
maj专业怎么样？就业前景和方向,专业前景
maj适合女生吗？,专业前景
maj相关专业和前景如何,专业前景
maj专业可以干什么工作呢，就业前景怎么样，,专业前景
关于maj方面有些什么专业，前景怎样,专业前景
如果我报sch的话想回pro附近工作会不会很困难？,专业前景
mai的就业收入大概多少？,专业前景
进4a公司难么？,专业前景
mai怎么样,专业前景
这个mai行业发展好吗,专业前景
mai以后能干什么呢？,专业前景
mai后找工作难吗？,专业前景
mai就业形势怎么样？,专业前景
mai就业方向,专业前景
maj就业及薪资情况。,专业前景
maj就业待遇如何？,专业前景
可以学临床医学吗？,专业前景
请问什么专业是学软件开发的？就是毕业后去的公司是做APP开发的，现在做这行前景怎样？,专业前景
女生学什么专业好？会计怎样,专业前景
请问外语类专业将来可在那些领域就业,专业前景
环境工程专业怎么样,专业前景
专科的，空中乘务靠谱吗，不是艺术生可以吗？,专业前景
自己想学管理，不知道那个学校较好，另外自己自己的分数不是太高，管理后的就业如何？,专业前景
我的分数是550，我想报跟美容产品研制类的专业，搜索了一下就是应用化学类的或者医药可是说这类专业的前景不好,专业前景
定向医学怎么样？,专业前景
我想知道一本有哪些专业适合女孩子，就业前景较好的,专业前景
会计专业好就业吗？,专业前景
我是理科生，我想問土木工程就業前景好嗎？在211中哪所大學該專業好？,专业前景
自己动手能力比较强，可是是个男生，我妈不让报纺织类，学机器电子专业怎样？能自己动手修东西吗？,专业前景
听说法学没有好的出路，是吗？还有管理类不好就业，是个坑？？？？,专业前景
276分怎么选择学校，有一起的么？,专业前景
关于互联网类的，俗话说it女生学好么？好就业么？,专业前景
财会专业好就业吗？,专业前景
我很喜欢学历史，但家人都反对，认为这个专业太冷，不好找工作，能帮忙分析一下吗？真的不好吗？,专业前景
人力资源管理怎么样？,专业前景
物理专业会不会很受欢迎,专业前景
现在英语专业有什么前景,专业前景
请问心理学将来的就业怎么样？,专业前景
老师您好，东北师大数学与应用数学专业将来就业是数学老师吗，女孩子适合学吗，学起来会不会很吃力。谢谢老师。,专业前景
能报那些学校的什么专业,学校及专业推荐
怎么报志愿比较好？,学校及专业推荐
有没有好学校，好专业，费用低点的学校？,学校及专业推荐
请问适合填那些学校和专业？,学校及专业推荐
请问女生适合的专业一本好报么？,学校及专业推荐
比往年录取专科线低十几分可以报吗？,学校及专业推荐
能去什么学校（二本）学什么专业,学校及专业推荐
求帮助今年报志愿的好方法,学校及专业推荐
没有可以去的大学补录记录怎样,学校及专业推荐
怎么填求指导,学校及专业推荐
一本的二本的都要，想去贵大和财大，有希望吗？老师你帮我理一个志愿吧。,学校及专业推荐
纠结选大学，还是选专业，还是城市，不知道去哪，高不成低不就的,学校及专业推荐
可以考哪些学校的什么专业？,学校及专业推荐
有哪些专业大学适合我,学校及专业推荐
想学法学或管理类的需要考研什么的么？,学校及专业推荐
知道哪些学校比较适合自己？专业比较好,学校及专业推荐
城市和专业都没有想过志愿无从下手请老师指导,学校及专业推荐
不知道怎么填志愿和学校了.,学校及专业推荐
想上二本院校怎么报考？,学校及专业推荐
报什么学校，专业？,学校及专业推荐
怎样才能最佳利用平行志愿,学校及专业推荐
请推荐冲稳保志愿,学校及专业推荐
请问适合填那些学校和专业？,学校及专业推荐
怎么填志愿？,学校及专业推荐
能选择哪些院校、专业？,学校及专业推荐
应该怎么填报志愿,学校及专业推荐
sch的maj到底如何？,学校及专业推荐
就业机会会不会太狭小了？,学校及专业推荐
要的几乎是男的？,学校及专业推荐
不知道该读什么了,学校及专业推荐
不知道有没有什么特别适合的专业，,学校及专业推荐
不是sch大学学习maj专业可以当老师吗？,学校及专业推荐
我是体育生现在十分迷茫不晓得填什么学校,学校及专业推荐
走北航用高校专项好走还是国家专项好走？有什么区别？,学校及专业推荐
您好，请问如何避免报考了一本的学校，却上了该校的二本专业？一本学校的二本专业是和一本专业一样招生的吗？（专业服从调剂）,学校及专业推荐
填志愿时可不可以填几个三本填几个专科,学校及专业推荐
专科和三本哪个好,学校及专业推荐
我高考570分，在山东35000名，可以推荐给我的大学和专业有什么,学校及专业推荐
女生专业最好选什么，分数大概520，,学校及专业推荐
2017年的高考考了343分，想走本科院校，可以有哪些选择？,学校及专业推荐
我是河南文科考生，女，比本科线高出24分，不知道应报什么专业，什么学校！,学校及专业推荐
马上就要填志愿了，个人倾向于小语种专业，哪种语言易学且就业前景好呢？,学校及专业推荐
安徽的高考离本科线差一分怎么填志愿啊？,学校及专业推荐
吉林省考生高考302分想学护理专业去哪个专科学校比较好,学校及专业推荐
在一本线边缘徘徊应该报一本还是二本A类呢,学校及专业推荐
江西2017年文科生，高考分数524，想学汉语言文学或外语类专业，有哪位朋友能给我推荐下好的学校吗？(一本线533，二本线458),学校及专业推荐
我是河北省的一名文科生，今年高考546，打算报经济学或者小语种，那些大学比较适合。,学校及专业推荐
贵州省文科总分621排位1254能填哪些大学？？想学行政管理，经济学，财政学，会计学,学校及专业推荐
高考成绩400分，应该报什么样的学校，什么样的专业更好,学校及专业推荐
我一文科生，假如说今年高考我过了重本线，但是只超了重本线十几分，我应该怎么抱志愿呢？,学校及专业推荐
我是吉林的考生，估分420多，想去南方的学校，最好是江苏、浙江、厦门的二本学校，但是都说北方报南方录取率低，但我还想试试，不知道该怎么办。,学校及专业推荐
江西省理科509分想读理工类和科技类大学不知道怎么填志愿好,学校及专业推荐
老师，我的分数大约是500分左右，我应该如何报志愿呢,学校及专业推荐
我高考考了585文科生，不知道去哪个学校，不太喜欢政法大学，但是想去北京，应该怎么办,学校及专业推荐
新疆文科生女总分587排名226考的出乎意料的好，之前看的学校都没用了，不知道报什么。九个大学我都凑不齐。@_@我们家比较重视专业希望能给些建议，非常感谢。,学校及专业推荐
高考考了421分，该怎样填志愿,学校及专业推荐
黑龙江理科考生383高出二表分数线48分，该怎么报志愿求大神帮忙~是走好一点学校二表B还是一般学校二表A啊,学校及专业推荐
刚好是本科线的分数，有可能被本科校录取吗，改怎么报志愿？,学校及专业推荐
嗯，我是17年的山西文科女生。但是成绩太差，目前给自己估分360。像这样的成绩，适合去哪里？学什么专业？,学校及专业推荐
男生567分应该报什么学校和专业呢。,学校及专业推荐
我考123分有没有学校要的，我真的好像读个大学,学校及专业推荐
老师。我是安徽的理科生。我今年考了437。我想知道大概能上什么样的学校。可以填什么样的专业,学校及专业推荐
重庆2017理科考生，462分，想学一个技术性强的专业，求推荐。随便在推荐一哈大学。谢谢,学校及专业推荐
我分数544不晓得是该填好的专业还是选择学校？,学校及专业推荐
理科537女生不知道学什么，求推荐湖北,学校及专业推荐
云南理科女分数468可以看看什么专业什么学校,学校及专业推荐
我是辽宁省的一名文科生，今年才考了447分，我想知道我能去哪个学校，应该选哪个专业,学校及专业推荐
城乡规划专业，画画不好可以报吗？,学校及专业推荐
高考考了380，有什么好的大学与专业,学校及专业推荐
懒了509，不知道怎么报，谢谢解答，么么哒,学校及专业推荐
大学不知道要学哪个专业，咋整。你们给个建议吧,学校及专业推荐
海南理科考生，第一批分数线539，我考了561，但在以往就过了二本线而已，不知道怎么报学校啊啊啊，想知道怎么填那几个志愿，求推荐学校和专业女生,学校及专业推荐
四川高考分数636，想读电子信息类，求推荐院校和专业,学校及专业推荐
这次高考没考好大概大概410有什么比较好的学校和专业吗最好湖北武汉的,学校及专业推荐
我是一名广西的高考生（女），成绩出来了387刚好压二本线，想去省外的大学和中文或是新闻之类的专业，问问有那些大学比较适合，学费都可以接受的,学校及专业推荐
计算机软件方面的专业推荐江西考生495理科男,学校及专业推荐
今年高考440分左右，想学习语言类专业，想征求意见谢谢大家,学校及专业推荐
我是今年的四川高三毕业生，文科女生分数大概上二本，平时喜欢语文和地理方面的，但数学不好，有什么适合的专业和学校，请推荐下，谢谢！,学校及专业推荐
山西考生，考了513，排名16060，该报什么那,学校及专业推荐
一本线500，我的508，感觉一本报不到好学校了，又不知道要学什么，哪些专业适合女孩子读，就业率比较好的？有没有推荐的学校？,学校及专业推荐
老师您好，我是一名湖南考生，理科女生，物理数学不好，估分510左右。不知道有什么学校专业适合我？,学校及专业推荐
理科今年预计估分480左右，可以报考哪些省外的好的二本大学，女生可以学什么专业,学校及专业推荐
山东文科超本科线40分能报哪些大学？山东省内大学优先。报哪些专业较好（女）？,学校及专业推荐
儿子明年高考，想考计算机专业，目标是电子科技大学。按他目前的成绩，高考正常发挥也就高出一本线五，六十分。估计考不上，能不能推荐几所比电子科技大学分低一些的计算机专业好的学校？,学校及专业推荐
男孩，理科，估计分数在480到500，想报师范类，较喜欢汉语言文学，生物，地理，帮推荐一下学校和专业好吗,学校及专业推荐
